gpsTime,lat,lon,altitude,speed,bearing,accuracy
1530997806000,40.7842092,-102.36818047,1151.69995117188,4,0.6,3
1530997807000,40.78424674,-102.3681788,1151.69995117188,4,1.2,3
1530997808000,40.78428366,-102.36817728,1151.30004882812,4,0.5,3
1530997809000,40.78432078,-102.368175,1151.59997558594,4,0.7,3
1530997810000,40.7843576,-102.36817318,1151.59997558594,4,0.1,3
1530997811000,40.78439435,-102.36817179,1151.90002441406,4,359.8,3
1530997812000,40.78443093,-102.36817022,1152.19995117188,4,359.9,3
1530997813000,40.78446723,-102.36816768,1152.59997558594,4,0.3,3
1530997814000,40.78450401,-102.36816483,1152.5,4,1.4,3
1530997815000,40.78454067,-102.36816194,1152.90002441406,4,1.9,3
1530997816000,40.7845777,-102.36815917,1152.90002441406,4,1,3
1530997817000,40.78461454,-102.36815742,1153,4,0.1,3
1530997818000,40.78465186,-102.36815717,1153.40002441406,4,359.3,3
1530997819000,40.78468841,-102.36815656,1153.30004882812,4,359.1,3
1530997820000,40.78472512,-102.36815682,1153.69995117188,4,358.1,3
1530997821000,40.78476267,-102.36815854,1153.59997558594,4,357.8,3
1530997822000,40.78479967,-102.36816058,1153.59997558594,4,358.3,3
1530997823000,40.78483624,-102.36816039,1153.5,4,359.8,3
1530997824000,40.78487225,-102.36815918,1153.69995117188,4,1,3
1530997825000,40.78490808,-102.36815729,1153.90002441406,4,1.6,3
1530997826000,40.78494458,-102.36815581,1153.80004882812,4,0.8,3
1530997827000,40.78498163,-102.36815504,1153.80004882812,4,1,3
1530997828000,40.78501728,-102.3681538,1153.40002441406,4,1,3
1530997829000,40.7850528,-102.36815246,1153.09997558594,4,1.7,3
1530997830000,40.78508824,-102.36815166,1153.30004882812,4,1.1,3
1530997831000,40.78512319,-102.36815177,1153,4,0.7,3
1530997832000,40.78515666,-102.36815332,1152.30004882812,4,359.8,3
1530997833000,40.78518953,-102.36815566,1152.5,4,358.8,3
1530997834000,40.78522214,-102.36815775,1152.69995117188,4,358.5,3
1530997835000,40.78525372,-102.36815937,1152.90002441406,4,359.2,3
1530997836000,40.78528498,-102.36816026,1153.09997558594,4,0,3
1530997837000,40.78531573,-102.36815983,1153.69995117188,4,1.1,3
1530997838000,40.78534604,-102.3681583,1154.19995117188,4,1.3,3
1530997839000,40.78537618,-102.36815648,1154.90002441406,4,1,3
1530997840000,40.78540627,-102.36815537,1155.19995117188,4,0.7,3
1530997841000,40.78543628,-102.36815456,1155.30004882812,3.75,0.7,3
1530997842000,40.78546622,-102.36815237,1154.5,3.75,3.2,3
